Batch,Sample Type,Inject Order,Sample Name,File Name,Bio Group
B1,Sample,128,B1-205,P0014_6600_0106_POS_B1-205_50-2uL_C18-25.5min_R128,SG-2
B1,Sample,129,B1-207,P0014_6600_0106_POS_B1-207_50-2uL_C18-25.5min_R129,SG-2
B1,QC,130,QC1-11,P0014_6600_0106_POS_QC1-11_50-2uL_C18-25.5min_R130,Invalid
B1,Sample,132,B1-212,P0014_6600_0106_POS_B1-212_50-2uL_C18-25.5min_R132,SG-0
B1,Sample,133,B1-225,P0014_6600_0106_POS_B1-225_50-2uL_C18-25.5min_R133,SG-0
B1,Sample,134,B1-229,P0014_6600_0106_POS_B1-229_50-2uL_C18-25.5min_R134,SG-0
B1,Sample,135,B1-367,P0014_6600_0106_POS_B1-367_50-2uL_C18-25.5min_R135,SG-1
B1,Sample,136,B1-411,P0014_6600_0106_POS_B1-411_50-2uL_C18-25.5min_R136,SG-0
B1,Sample,137,B1-413,P0014_6600_0106_POS_B1-413_50-2uL_C18-25.5min_R137,SG-1
B1,Sample,138,B1-417,P0014_6600_0106_POS_B1-417_50-2uL_C18-25.5min_R138,SG-1
B1,Sample,139,B1-422,P0014_6600_0106_POS_B1-422_50-2uL_C18-25.5min_R139,SG-2
B1,Sample,140,B1-423,P0014_6600_0106_POS_B1-423_50-2uL_C18-25.5min_R140,SG-0
B1,Sample,141,B1-424,P0014_6600_0106_POS_B1-424_50-2uL_C18-25.5min_R141,SG-2
B1,QC,142,QC1-12,P0014_6600_0106_POS_QC1-12_50-2uL_C18-25.5min_R142,Invalid
B1,Blank,143,BLANK1-8,P0014_6600_0106_POS_BLANK1-8_50-2uL_C18-25.5min_R143,Invalid
B1,Sample,144,B1-425,P0014_6600_0106_POS_B1-425_50-2uL_C18-25.5min_R144,SG-2
B1,Sample,145,B1-426,P0014_6600_0106_POS_B1-426_50-2uL_C18-25.5min_R145,SG-1
B1,Sample,146,B1-428,P0014_6600_0106_POS_B1-428_50-2uL_C18-25.5min_R146,SG-0
B1,Sample,147,B1-429,P0014_6600_0106_POS_B1-429_50-2uL_C18-25.5min_R147,SG-1
B1,Sample,148,B1-431,P0014_6600_0106_POS_B1-431_50-2uL_C18-25.5min_R148,SG-1
B1,Sample,149,B1-435,P0014_6600_0106_POS_B1-435_50-2uL_C18-25.5min_R149,SG-2
B1,Sample,150,B1-437,P0014_6600_0106_POS_B1-437_50-2uL_C18-25.5min_R150,SG-1
B1,Sample,151,B1-441,P0014_6600_0106_POS_B1-441_50-2uL_C18-25.5min_R151,SG-0
B1,Sample,152,B1-447,P0014_6600_0106_POS_B1-447_50-2uL_C18-25.5min_R152,SG-1
B1,Sample,153,B1-044,P0014_6600_0106_POS_B1-044_50-2uL_C18-25.5min_R153,SG-1
B1,QC,154,QC1-13,P0014_6600_0106_POS_QC1-13_50-2uL_C18-25.5min_R154,Invalid
B1,Sample,156,B1-072,P0014_6600_0106_POS_B1-072_50-2uL_C18-25.5min_R156,SG-0
B1,Sample,157,B1-038,P0014_6600_0106_POS_B1-038_50-2uL_C18-25.5min_R157,SG-0
B1,Sample,158,B1-042,P0014_6600_0106_POS_B1-042_50-2uL_C18-25.5min_R158,SG-0
B1,Sample,159,B1-045,P0014_6600_0106_POS_B1-045_50-2uL_C18-25.5min_R159,SG-1
B1,Sample,160,B1-046,P0014_6600_0106_POS_B1-046_50-2uL_C18-25.5min_R160,SG-0
B1,Sample,161,B1-050,P0014_6600_0106_POS_B1-050_50-2uL_C18-25.5min_R161,SG-1
B1,Sample,162,B1-051,P0014_6600_0106_POS_B1-051_50-2uL_C18-25.5min_R162,SG-1
B1,Sample,163,B1-055,P0014_6600_0106_POS_B1-055_50-2uL_C18-25.5min_R163,SG-0
B1,Sample,164,B1-078,P0014_6600_0106_POS_B1-078_50-2uL_C18-25.5min_R164,SG-2
B1,Sample,165,B1-064,P0014_6600_0106_POS_B1-064_50-2uL_C18-25.5min_R165,SG-0
B1,Sample,166,B1-043,P0014_6600_0106_POS_B1-043_50-2uL_C18-25.5min_R166,SG-0
B1,Sample,167,B1-047,P0014_6600_0106_POS_B1-047_50-2uL_C18-25.5min_R167,SG-2
B1,QC,169,QC1-14,P0014_6600_0106_POS_QC1-14_50-2uL_C18-25.5min_R169,Invalid
B2,Blank,170,BLANK2-1,P0014_6600_0301_POS_BLANK2-1_50-2uL_C18-25.5min_R1,Invalid
B2,Blank,171,BLANK2-2,P0014_6600_0301_POS_BLANK2-2_50-2uL_C18-25.5min_R2,Invalid
B2,Blank,172,BLANK2-3,P0014_6600_0301_POS_BLANK2-3_50-2uL_C18-25.5min_R3,Invalid
B2,Blank,173,BLANK2-4,P0014_6600_0301_POS_BLANK2-4_50-2uL_C18-25.5min_R4,Invalid
